Hardware_Capex,Data_Center_Power_MW,Cloud_GPU_Deployments,AI_Software_Revenue
330.91,42.86,86.92,987.76
763.04,102.34,95.2,1736.51
599.0,86.28,18.97,1020.04
498.99,81.7,93.03,1157.51
167.01,26.76,51.75,510.83
167.0,15.08,29.53,477.99
93.56,15.42,48.62,376.53
699.63,108.03,98.1,1464.99
500.84,68.05,51.8,1081.21
581.05,88.39,36.23,1147.86
65.44,10.28,65.17,371.87
777.43,107.47,27.81,1475.57
674.33,104.01,12.21,1212.26
209.25,35.87,17.24,474.55
186.37,36.62,17.16,462.5
187.55,36.56,19.43,453.73
278.18,30.71,18.19,571.91
443.57,59.03,65.88,983.81
373.96,60.21,22.28,901.48
268.42,44.37,37.84,639.71
508.89,80.45,90.19,1262.62
154.62,54.01,50.03,475.86
269.11,44.93,68.42,768.6
324.77,57.8,21.37,659.14
392.05,66.44,23.27,756.81
638.88,101.04,8.88,1107.59
199.76,27.44,21.05,454.05
435.68,71.42,31.47,863.86
494.31,67.96,21.82,915.19
84.84,10.83,13.43,227.35
505.66,71.97,16.46,945.7
177.89,27.34,48.77,566.77
98.79,33.34,24.6,245.28
761.66,99.31,39.61,1629.47
774.22,121.62,52.82,1713.8
656.3,85.54,70.59,1241.8
278.46,37.99,8.73,527.86
123.25,27.2,80.94,550.17
563.17,84.99,64.65,1135.92
380.11,48.4,12.77,691.73
141.53,15.51,87.99,600.38
421.38,68.64,92.48,1229.85
75.79,5.53,10.8,212.51
731.99,111.53,31.3,1551.65
244.08,36.98,81.59,798.64
546.89,76.82,76.08,1182.71
283.78,59.72,22.53,573.74
440.05,71.08,24.89,913.41
460.03,52.8,40.19,903.1
188.64,29.79,51.03,573.95
777.19,111.28,63.73,1595.22
631.35,101.52,40.05,1235.36
754.62,106.85,48.94,1606.14
721.12,107.25,76.01,1621.49
498.42,78.8,8.48,889.72
741.41,118.14,28.98,1545.32
116.37,7.85,72.77,502.74
196.99,26.87,90.04,744.52
83.92,8.79,53.61,393.57
294.0,38.87,55.55,743.31
341.51,65.35,15.18,684.47
253.51,41.27,47.5,603.13
671.55,90.65,55.6,1503.95
317.56,54.98,28.03,672.46
260.7,56.08,30.58,568.09
457.02,76.81,40.84,1044.51
155.69,11.2,6.91,310.83
651.65,93.87,35.6,1155.75
105.91,26.02,25.09,278.25
790.17,112.86,36.11,1607.14
629.18,97.93,16.38,1053.23
199.04,36.05,89.6,776.03
54.14,0.71,61.39,350.76
661.6,98.76,69.51,1612.91
580.14,61.09,79.97,1376.96
596.76,81.32,52.35,1259.25
628.45,92.25,13.26,1111.75
105.53,5.85,56.03,442.46
318.85,60.89,60.75,809.69
136.9,9.09,75.82,592.8
697.33,101.08,46.01,1425.63
517.47,78.67,17.12,997.27
298.17,56.26,31.96,645.16
97.67,3.16,39.49,356.36
283.24,51.79,66.36,787.46
293.89,44.16,59.22,693.42
597.2,81.73,38.83,1093.65
528.17,82.92,98.72,1388.0
715.41,108.9,62.55,1526.82
404.16,55.82,27.54,823.57
139.7,21.51,14.67,324.76
584.93,84.66,19.52,1144.14
620.59,94.0,28.37,1158.28
470.96,75.94,20.26,860.83
628.23,106.92,22.72,1211.7
420.35,53.15,32.08,821.7
442.05,83.37,21.47,891.96
370.66,39.98,90.19,938.3
69.06,9.15,12.62,205.89
130.92,24.34,54.83,477.08
73.57,13.28,43.99,329.56
527.31,74.11,98.33,1408.13
285.77,41.2,15.64,652.75
431.43,60.77,42.8,1008.01
730.67,104.89,97.1,1474.41
236.97,42.34,87.22,733.78
357.79,56.52,82.62,937.71
616.66,86.96,29.5,1211.93
221.6,40.44,21.23,505.8
107.73,18.62,68.52,471.97
267.31,46.6,93.29,863.52
170.92,30.67,57.89,529.52
747.27,105.46,59.3,1486.03
656.09,93.93,31.6,1146.95
525.05,84.74,78.1,1167.42
703.6,110.42,22.77,1184.68
652.75,97.75,35.75,1198.53
189.93,29.43,45.42,563.84
719.42,118.13,53.22,1371.33
454.51,63.44,28.03,1102.97
655.58,102.71,15.91,1265.84
722.07,106.69,63.01,1543.43
288.5,41.53,32.42,616.07
132.54,28.67,60.22,504.03
220.95,39.75,19.66,462.42
370.33,62.06,50.71,870.18
663.51,109.97,55.6,1641.52
695.55,104.5,9.92,1254.41
55.21,13.74,36.98,274.94
433.06,62.48,17.77,798.67
363.06,57.05,11.02,692.16
216.58,31.45,99.05,852.84
139.9,21.76,35.62,395.28
303.21,50.24,81.94,955.84
757.18,107.03,29.19,1531.56
292.4,60.6,69.74,775.33
439.09,57.82,77.22,1137.0
577.26,76.88,61.59,1356.19
322.72,57.67,49.8,806.36
778.84,123.16,44.12,1358.38
771.84,120.77,38.14,1422.31
238.84,40.85,93.31,798.83
422.94,63.34,83.91,1085.53
275.66,34.17,96.68,916.47
263.63,40.15,16.81,553.72
77.67,6.23,74.43,443.85
507.17,83.88,94.14,1301.47
427.01,62.87,22.22,890.16
88.61,6.69,11.32,233.86
258.98,36.28,75.41,816.65
731.2,112.98,59.57,1614.43
229.67,29.94,84.97,779.15
158.67,17.22,18.28,373.44
417.09,64.51,80.55,961.79
789.24,120.35,24.15,1532.93
231.54,30.68,20.55,515.84
554.1,79.35,20.61,1087.7
621.21,95.04,82.38,1306.24
228.23,22.65,68.19,660.25
596.16,78.16,54.69,1371.95
325.84,43.13,39.09,744.37
524.23,76.93,88.33,1337.08
525.15,81.26,42.28,1101.0
451.83,79.58,82.58,1130.83
117.72,24.52,46.72,428.07
676.48,100.19,40.81,1303.44
290.59,43.44,48.95,726.34
189.89,20.46,33.63,477.92
80.58,11.94,76.02,462.92
493.17,71.67,52.76,1065.03
558.17,86.31,27.06,1113.4
62.44,2.75,90.46,493.37
434.07,69.27,41.47,1019.33
219.87,45.24,56.64,595.19
533.88,79.21,91.11,1295.87
180.77,30.33,64.3,580.52
568.2,90.75,16.11,1190.14
340.05,47.8,94.28,1000.36
752.55,114.67,64.63,1697.25
153.14,23.07,36.82,402.26
305.8,46.65,18.23,637.29
135.11,14.08,80.43,600.91
743.52,111.72,63.91,1572.28
708.0,110.18,55.68,1580.19
243.46,48.13,89.92,779.95
544.99,89.42,79.92,1396.15
662.92,116.66,19.41,1466.15
466.4,63.82,34.61,945.68
447.24,74.06,28.61,877.54
231.39,36.18,75.67,776.56
119.83,35.49,8.19,284.08
722.91,101.97,59.14,1455.12
725.31,102.08,77.43,1543.54
524.83,73.93,88.29,1263.71
304.27,28.65,37.5,646.99
311.91,42.58,83.02,854.24
594.47,83.1,15.51,1025.99
722.83,109.63,85.41,1529.69
715.31,110.03,17.11,1322.28
634.91,110.25,42.74,1305.98
531.52,87.33,80.74,1384.67
113.1,12.35,19.24,282.44
171.22,18.5,26.78,456.35
723.92,112.52,73.61,1543.01
504.82,65.16,73.4,1190.97
56.9,23.19,65.91,385.22
126.1,28.35,70.93,500.27
547.63,78.39,56.56,1229.18
53.8,-5.64,28.92,241.68
170.61,36.42,37.84,477.85
461.55,68.32,22.25,930.66
568.92,95.24,91.3,1576.18
538.97,68.09,60.42,1151.23
218.2,27.94,43.08,558.74
584.13,87.66,48.89,1173.57
227.94,34.57,94.99,778.98
294.05,40.51,19.57,584.2
609.87,96.46,60.69,1426.07
537.22,72.04,53.06,1282.69
686.92,101.9,63.09,1404.05
543.21,82.44,6.72,920.62
476.23,75.55,87.85,1229.52
120.26,23.73,93.55,593.84
325.79,39.87,58.69,857.16
248.9,25.06,71.18,752.8
232.99,45.17,92.64,739.38
779.76,119.62,72.19,1838.51
344.82,45.74,19.49,793.67
719.03,120.26,59.75,1432.03
523.35,79.43,62.64,1147.44
646.11,106.35,45.29,1343.69
426.98,64.59,74.96,1082.54
482.68,88.89,93.76,1272.12
419.39,76.95,92.93,1239.6
196.43,27.47,47.83,550.95
591.84,96.55,15.76,1034.2
260.58,44.25,98.56,812.24
68.24,21.18,84.7,468.53
534.1,72.4,16.84,1014.91
182.83,32.91,92.48,756.78
755.34,121.77,87.64,1615.65
765.45,100.75,54.29,1595.28
736.15,100.96,61.17,1542.46
327.62,32.83,42.91,828.32
61.59,7.08,10.2,196.48
746.24,117.68,36.84,1397.34
371.14,67.69,81.27,957.04
774.99,116.84,5.44,1504.71
772.71,128.94,36.68,1577.18
689.76,92.42,42.83,1582.72
